Исполнитель,Цена,Место,Дата
T-Fest,1200,Adrenaline Stadium,22.11
Enter Shikari,2500,Adrenaline Stadium,7.03
Top Hit Music Awards 2019,800,Крокус Сити Холл,10.04
Animal ДжаZ,1700,ДК им. Горбунова,14.04
The 1975,3000,Adrenaline Stadium,30.07
Звери,1300,ВТБ Арена,14.12
Михаил Шуфутинский,2000,ЦКИ Меридиан,14.02
Ария,1250,Дворец спорта Мегаспорт,23.03
Чайф,1300,Крокус Сити Холл,15.02
Вася Обломов,800,Корстон-Серпухов,16.02
Семен Слепаков,1000,Крокус Сити Холл,17.02
Lil Jon,1800,Arena by Soho Family,23.02
Thirty Seconds to Mars,4000,Парк Горького,13.07
